OBJECTID;NAME;ITEM_NUMBER;TYPE_STATION;CLASS_STATION;TYPE_DISTRIBUTIE;YEAR_OF_CONSTRUCTION;EIGENAAR;STATUS_KAST;POSITIONDETERMINATION;ROAD;HOUSE_NUMBER;ADDRESS;LEVERANCIER;DATE_MODIFIED;BEHEERDER_OMS;FABRIKAAT;NAAM;NADERE_ADRES_AAND;POSTCODE;TOEGANGS_AANDUIDING_TEKST;WOONPLAATS;X;Y;LONG;LAT
653;H235;H235;Station;Station 10/0,4 kV/OV;Onbekend;1958-07-01;Stedin;In bedrijf;;DE GAARDE;191;;Onbekend;2012-01-26;Stedin;Onbekend;;Openbare weg;2542CG;10;S GRAVENHAGE;78152.0654999986;450448.232000001;4.267189250866491;52.03703135018006
655;H237;H237;Station;Station 10/0,4 kV/OV;Zelfbouw;1958-07-01;Stedin;In bedrijf;;SCHRYNWERKERSG;11;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2542TS;10;S GRAVENHAGE;78483.0555000007;450541.517999999;4.271991485709598;52.03791546351056
237;H187;H187;Station;Station 10/0,4 kV/OV;Onbekend;1965-07-01;Stedin;In bedrijf;;HEESWYKPLN;120;;Onbekend;2012-01-26;Stedin;Onbekend;;Nabij;2531HH;10;S GRAVENHAGE;80844.374499999;452011.331;4.3060821671933445;52.05144522864062
279;H179;H179;Station;Station 10/0,4 kV/OV;Niet van toepassing;1934-07-01;Stedin;In bedrijf;;BEATRYSSTR;;;Inpandig;2012-01-26;Stedin;Inpandig;;Openbare weg;2531XC;10;S GRAVENHAGE;80386.0340000019;452510.4245;4.299292129415182;52.05586894451597
6;F401 Station;F401;Station;Station 10/0,4 kV/OV;Zelfbouw;1950-07-01;Onbekend;In bedrijf;;V ALKEMADELN;50;;ENECO;2015-12-15;Stedin;ENECO;TNT POST;Terrein;2597AW;10;S GRAVENHAGE;81686.3779999986;457780.206999999;4.317116268650418;52.10340082212376
13;F405 Station;F405;Station;Station 10/0,4 kV/OV;Zelfbouw;1966-07-01;Stedin;In bedrijf;;T MANN BOUWM LN;1;;ENECO;2015-12-15;Stedin;ENECO;HUIZE DELBRECHT BEIJEREN;Terrein;2597GT;10;S GRAVENHAGE;82067.21299999951;457971.874000002;4.322632999910308;52.105173608542884
14;F610 Station;F610;Station;Station 10/0,4 kV/OV;Niet van toepassing;1974-07-01;Stedin;In bedrijf;;J MUSCHLN;190/300;;Inpandig;2015-12-15;Stedin;Inpandig;FLAT DUINHORST;Openbare weg;2597VD;10;S GRAVENHAGE;82436.52349999921;458046.572500002;4.328006884015028;52.10589345909288
23;F704 Station;F704;Station;Station 10/0,4 kV;Onbekend;1959-07-01;Onbekend;In bedrijf;;T SCHELTEMASTR;3;;Onbekend;2015-12-15;Stedin;Onbekend;KPN;Terrein;2597CP;10;S GRAVENHAGE;82666.8150000013;456792.747499999;4.331633964542176;52.09465577365083
26;F905 Station;F905;Station;Station 10/0,4 kV;Zelfbouw;2010-07-19;Stedin;In bedrijf;;WASSENAARSEWG;171;;ENECO;2015-12-15;Stedin;ENECO;;Tegenover;2596CP;20;S GRAVENHAGE;82342.6490000002;456862.60200000205;4.326889245407189;52.09524108269901
327;H172;H172;Station;Station 10/0,4 kV/OV;Zelfbouw;1950-07-01;Stedin;In bedrijf;;V ALPHENLN;104;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2533GZ;10;S GRAVENHAGE;79663.5029999986;451715.988000002;4.288934260284059;52.048631792475376
